Día,Impr.,Usuarios únicos,Clics,Coste,Resultados
2025-01-14,48563,--,793,288204,21
2024-11-29,47686,--,1702,336146,11
2024-01-21,47419,--,438,201875,17
2024-01-27,47247,--,403,176778,10
2024-01-25,45915,--,427,189345,13
2024-01-17,44950,--,449,198283,22
2023-08-15,44380,--,1939,310388,37
2025-01-08,37493,--,1348,362500,10
2024-01-26,36810,--,410,163959,10
2024-01-09,36275,--,423,190242,22
2024-01-18,35600,--,448,196377,23
2026-05-23,35374,--,169,115982,1
2024-01-24,34756,--,410,191014,18
2024-01-02,34059,--,452,236642,23
2024-01-28,32603,--,371,178007,10
2023-08-13,30135,--,959,303359,42
2024-11-02,29557,--,832,414241,20
2024-11-03,29459,--,798,449370,29
2023-12-01,28737,--,483,251907,18
2023-11-20,27638,--,598,313333,16
2024-11-23,26985,--,1148,621610,41
2023-11-18,26661,--,525,319353,20
2023-08-17,26297,--,858,292448,22
2024-01-20,25021,--,381,187175,17
2026-05-24,24442,--,208,130916,2
2026-05-21,23685,--,129,94495,0
2025-01-11,23449,--,646,361617,14
2026-05-22,23349,--,134,89336,0
2024-11-04,23173,--,745,433743,42
2024-01-08,22753,--,400,196338,5
2023-10-14,22076,--,430,252906,10
2026-05-10,21713,--,659,140912,2
2023-10-09,21061,--,552,254437,21
2025-01-19,20853,--,1047,192320,26
2023-11-19,20677,--,550,329276,18
2024-11-05,20428,--,671,437658,23
2023-10-10,20250,--,674,208866,9
2023-08-04,20189,--,826,252682,8
2023-08-19,19997,--,817,329221,9
2026-03-14,19753,--,1318,277724,0
2024-01-23,19576,--,412,177241,16
2024-01-29,19493,--,407,193680,23
2025-10-30,19136,--,1066,609045,0
2024-11-17,18823,--,680,412672,20
2024-01-10,18481,--,389,205035,26
2024-01-30,18257,--,366,167345,20
2024-02-01,18105,--,301,246977,20
2024-11-07,17676,--,622,432792,20
2025-01-18,17106,--,876,212772,16
2026-03-08,17070,--,938,321095,0
2023-08-18,17015,--,819,269355,16
2024-12-05,16988,--,701,507332,20
2025-10-25,16908,--,818,403883,3
2024-11-30,16654,--,830,742444,47
2025-01-20,16457,--,422,205496,18
2024-11-06,16437,--,592,406829,12
2024-11-12,16277,--,575,409838,19
2024-11-01,16174,--,588,389852,15
2024-11-11,15641,--,631,404030,13
2025-01-16,15450,--,611,245454,20
2023-08-12,15399,--,587,308298,30
2024-01-19,15267,--,423,200419,20
2024-01-22,15261,--,367,191722,17
2023-08-03,15158,--,767,242692,38
2026-03-12,15068,--,883,292691,0
2024-12-08,14896,--,480,460165,19
2025-01-15,14892,--,669,243115,15
2023-09-04,14859,--,682,347430,15
2024-01-13,14823,--,420,188403,26
2024-02-03,14805,--,413,261882,34
2025-10-27,14731,--,852,552521,3
2024-02-02,14722,--,397,274324,17
2023-07-29,14614,--,667,230426,20
2023-07-16,14527,--,606,258436,21
2023-06-09,14418,--,669,309154,8
2024-08-02,14219,--,439,236557,3
2023-08-24,14164,--,624,276555,26
2025-01-10,13955,--,475,445753,30
2024-01-16,13922,--,379,177835,21
2024-11-16,13859,--,576,399472,24
2023-08-05,13800,--,591,236582,19
2023-11-05,13754,--,535,344122,19
