Día,Alcance,Impresiones,Frecuencia,"Importe gastado (COP)","Clics en el enlace","Visitas a la página de destino","Artículos agregados al carrito","Pagos iniciados","Información de pago agregada",Compras,"Inicio del informe","Fin del informe"
2023-08-17,268533,405030,1.50830624,825462,5191,3667,149,,,25,2023-08-17,2023-08-17
2023-08-18,259596,385637,1.48552751,811822,4929,3491,140,,,20,2023-08-18,2023-08-18
2023-08-19,261689,386932,1.47859482,820277,5040,3483,108,,,22,2023-08-19,2023-08-19
2023-08-20,300126,440375,1.4673004,880292,5789,3996,171,,,22,2023-08-20,2023-08-20
2023-08-21,278146,440619,1.58412848,828238,5904,4113,186,,,25,2023-08-21,2023-08-21
2023-08-22,267206,400899,1.50033682,821801,5349,3750,172,,,22,2023-08-22,2023-08-22
2023-08-23,224649,349829,1.55722483,792572,4639,3163,189,,,24,2023-08-23,2023-08-23
2023-08-24,230597,358045,1.55268716,805461,4640,3275,178,,,18,2023-08-24,2023-08-24
2023-08-25,230109,334318,1.45286799,772523,4249,3035,121,,,16,2023-08-25,2023-08-25
2023-08-26,39761,50228,1.26324791,149631,664,538,50,,,11,2023-08-26,2023-08-26
2023-08-27,0,0,0,0,,1,18,,,2,2023-08-27,2023-08-27
2023-08-28,0,0,0,0,,,35,,,10,2023-08-28,2023-08-28
2023-08-29,96799,135925,1.40419839,431709,5519,3084,64,,,6,2023-08-29,2023-08-29
2023-08-30,111346,174737,1.56931547,654443,7344,4715,86,,,12,2023-08-30,2023-08-30
2023-08-31,46529,59038,1.26884309,230207,2199,1571,39,,,11,2023-08-31,2023-08-31
