Order,SKU Name,Quantity_SKU,Total Value,Creation Date,City,Status,Total_Value_SKU
1336240624549-01,Shampoo Muss Rubio Luminoso x 400ml,4,88000.0,2023-05-31 19:29:21Z,"Bogotá, D.c.",Faturado,88000.0
1336260624551-01,Tinte #6.0 Rubio Oscuro Natural Green Code Kit x50g - GR a  $432,1,59430.0,2023-05-31 20:43:26Z,Medellín,Faturado,29715.0
1336260624551-01,Tinte #8.11 Rubio Claro Cenizo Profundo Green Code Kit x50g - GR a  $432,1,59430.0,2023-05-31 20:43:26Z,Medellín,Faturado,29715.0
1336270624561-01,Crema para Peinar Muss Kids Manzanilla 300g,1,116638.0,2023-05-31 21:45:43Z,San Vicente De Chucurí,Faturado,29159.5
1336270624561-01,Oferta Muss Hidratacion Intensa  SH+AC Gratis Crema Para Peinar Muss Hidratacion Intensa Sh+Ac+Cppx300ml,1,116638.0,2023-05-31 21:45:43Z,San Vicente De Chucurí,Faturado,29159.5
1336270624561-01,Oferta Muss Rubios Luminosos SH+AC Gratis Crema Para Peinar Muss Rubios Trio Sh+Ac+ Gts Cpp x 300ml,1,116638.0,2023-05-31 21:45:43Z,San Vicente De Chucurí,Faturado,29159.5
1336270624561-01,Shampoo Muss Baby Manzanilla 400ml,1,116638.0,2023-05-31 21:45:43Z,San Vicente De Chucurí,Faturado,29159.5
1336280624565-01,Acondicionador Hydra Repair Salon In 1000 ml,1,117400.0,2023-05-31 22:38:05Z,Cali,Faturado,58700.0
1336280624565-01,Shampoo Hydra Repair Salon In 1000 ml,1,117400.0,2023-05-31 22:38:05Z,Cali,Faturado,58700.0
1336280624573-01,Tinte #5.0 Castaño Claro Natural Green Code Kit x50g,2,59430.0,2023-05-31 23:00:55Z,"Bogotá, D.c.",Faturado,59430.0
1336280624579-01,Acondicionador Liss Control Salon In 1000 ml,1,184975.0,2023-05-31 23:04:49Z,"Bogotá, D.c.",Faturado,46243.75
1336280624579-01,Shampoo Liss Control Salon In 1000 ml,1,184975.0,2023-05-31 23:04:49Z,"Bogotá, D.c.",Faturado,46243.75
1336280624579-01,Vegan Keratin Collagen Conditioner x 1000 ml Vegan Keratin Collagen Condit x1000ml 45.0  ML,1,184975.0,2023-05-31 23:04:49Z,"Bogotá, D.c.",Faturado,46243.75
1336280624579-01,Vegan Keratin Collagen Shampoo x 1000 ml Vegan Keratin Collagen Shampoo x1000ml 34.5  ML,1,184975.0,2023-05-31 23:04:49Z,"Bogotá, D.c.",Faturado,46243.75
1336380624593-01,Tinte #8.0 Rubio Claro Natural Green Code Kit x50g - GR a  $432,3,78900.0,2023-06-01 09:06:05Z,"Bogotá, D.c.",Faturado,78900.0
1336390624599-01,Shampoo Control Caída Men Vitane x 400 ml Shampoo Anticaida Men Vitane 400 ml,2,72600.0,2023-06-01 10:02:47Z,Medellín,Faturado,48400.0
1336390624599-01,Tratamiento Control Caída Men Vitane 120 ml,1,72600.0,2023-06-01 10:02:47Z,Medellín,Faturado,24200.0
1336390624609-01,Vegan Keratin Collagen Conditioner x 1000 ml Vegan Keratin Collagen Condit x1000ml 45.0  ML,1,79500.0,2023-06-01 10:13:33Z,Neiva,Faturado,39750.0
1336390624609-01,Vegan Keratin Collagen Shampoo x 1000 ml Vegan Keratin Collagen Shampoo x1000ml 34.5  ML,1,79500.0,2023-06-01 10:13:33Z,Neiva,Faturado,39750.0
1336390624617-01,Crema Moldeadora Vitane x 150 g,2,82780.0,2023-06-01 10:20:55Z,"Bogotá, D.c.",Faturado,23651.428571428572
1336390624617-01,Desodorante Para Pies Antibacterial Deo Pies 180 ml,1,82780.0,2023-06-01 10:20:55Z,"Bogotá, D.c.",Faturado,11825.714285714286
1336390624617-01,Gel Antibacterial Aloe Vera Bacterion Fco. 40 ml,3,82780.0,2023-06-01 10:20:55Z,"Bogotá, D.c.",Faturado,35477.142857142855
1336390624617-01,Shampoo Uso Diario Men Vitane x 400 ml,1,82780.0,2023-06-01 10:20:55Z,"Bogotá, D.c.",Faturado,11825.714285714286
1336410624623-01,Acondicionador Keratin Ultra Force Salon In 1000 ml,1,65700.0,2023-06-01 11:51:03Z,"Bogotá, D.c.",Faturado,65700.0
1336410624625-01,Oferta Muss Hidratacion Intensa  SH+AC Gratis Crema Para Peinar Muss Hidratacion Intensa Sh+Ac+Cppx300ml,1,88018.0,2023-06-01 11:54:32Z,Valledupar,Faturado,44009.0
1336410624625-01,Oferta Muss Rizos Perfectos  SH+AC Gratis Crema Para Peinar Muss Rizos Trio Sh+Ac+ Gts Cpp x300ml,1,88018.0,2023-06-01 11:54:32Z,Valledupar,Faturado,44009.0
